chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
99.8,39.7,722,1750,M
89.3,40.7,621,1758,S
111.5,44.5,927,1803,XL
98.6,41.8,784,1717,M
127.2,45.5,1208,1737,3XL
117.4,43.0,972,1722,2XL
111.4,41.8,902,1731,XL
104.4,42.9,813,1842,L
110.6,43.5,1066,1800,XL
111.6,42.1,1018,1803,XL
111.6,44.0,847,1744,XL
93.4,42.1,651,1687,S
105.4,42.9,867,1897,L
93.2,42.2,635,1749,S
110.7,41.5,894,1788,XL
116.1,43.0,1029,1899,2XL
99.9,41.9,681,1700,M
102.8,45.1,889,1923,L
98.6,43.0,716,1782,M
105.9,41.4,816,1773,L
110.5,42.0,863,1718,XL
91.4,40.7,772,1814,S
104.3,43.1,879,1711,L
99.6,39.6,872,1710,M
91.4,38.9,649,1671,S
98.1,41.5,654,1735,M
105.7,42.5,871,1758,L
110.6,43.2,942,1804,XL
105.5,41.9,837,1731,L
99.3,42.4,745,1779,M
117.2,42.7,1019,1725,2XL
104.9,41.6,878,1742,L
104.3,43.5,918,1793,L
123.2,45.0,1114,1747,3XL
117.4,44.4,1009,1723,2XL
89.9,41.3,625,1828,S
116.3,43.1,1034,1761,2XL
117.9,42.1,1077,1814,2XL
116.3,43.3,959,1800,2XL
105.3,42.1,867,1822,L
105.0,38.8,776,1654,L
110.5,42.1,927,1621,XL
99.7,41.1,783,1716,M
110.3,41.4,862,1644,XL
91.2,39.4,609,1651,S
90.9,44.1,681,1839,S
111.1,41.7,840,1710,XL
110.6,40.7,929,1730,XL
130.9,43.3,1164,1735,3XL
117.7,42.3,977,1729,2XL
98.1,44.2,793,1738,M
122.7,42.5,1140,1907,3XL
117.4,42.1,999,1763,2XL
110.2,42.1,857,1808,XL
110.7,40.5,897,1745,XL
117.6,43.1,982,1729,2XL
93.9,40.6,633,1600,S
105.0,41.7,797,1781,L
97.3,43.7,720,1765,M
92.7,42.8,659,1784,S
125.7,45.6,1247,1808,3XL
104.7,41.6,900,1787,L
104.8,41.2,825,1825,L
110.6,43.0,932,1798,XL
96.7,44.5,837,1802,M
98.8,44.1,795,1707,M
127.7,43.6,1222,1736,3XL
99.7,41.3,684,1613,M
87.2,40.5,584,1638,S
110.8,42.3,961,1779,XL
92.2,41.6,675,1836,S
97.7,41.3,738,1722,M
116.8,42.7,941,1718,2XL
97.7,44.2,650,1883,M
99.0,43.3,742,1838,M
97.5,40.0,756,1772,M
116.1,44.5,1095,1797,2XL
93.0,38.9,669,1699,S
105.2,42.5,899,1723,L
104.1,37.6,799,1691,L
130.1,43.8,1209,1899,3XL
