chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
93.3,36.4,648,1574,L
81.2,35.1,478,1541,S
84.3,39.1,591,1675,M
93.6,38.3,665,1652,L
78.4,35.3,512,1565,S
80.4,34.6,496,1530,S
93.2,39.0,744,1600,L
78.3,35.2,506,1557,S
112.1,37.1,844,1696,3XL
81.4,35.6,487,1495,S
93.9,36.6,612,1644,L
93.3,35.3,722,1652,L
78.7,34.6,542,1604,S
88.3,36.9,585,1602,M
87.7,33.3,621,1623,M
79.8,33.9,470,1480,S
78.7,35.3,516,1590,S
80.2,34.9,501,1529,S
82.5,36.0,535,1643,S
88.8,35.1,752,1691,M
82.4,36.4,519,1558,S
88.0,37.6,611,1686,M
80.3,32.9,540,1546,S
111.0,37.2,905,1657,3XL
121.2,37.9,1082,1733,3XL
105.2,40.6,788,1669,2XL
105.7,37.7,749,1607,2XL
104.3,35.2,827,1582,2XL
78.3,35.7,528,1591,S
107.7,33.8,840,1630,2XL
88.1,35.2,607,1642,M
82.3,34.5,564,1626,S
93.5,39.6,729,1729,L
93.2,33.3,618,1501,L
88.3,34.8,618,1657,M
81.3,36.6,546,1614,S
88.4,37.5,641,1675,M
86.5,38.2,635,1638,M
87.6,34.5,664,1594,M
93.6,37.5,739,1708,L
88.8,36.1,645,1598,M
81.5,35.5,580,1620,S
77.5,36.0,478,1630,S
81.5,35.2,583,1636,S
88.2,37.1,591,1549,M
81.5,35.9,550,1569,S
88.3,37.8,659,1586,M
93.1,35.7,736,1679,L
82.6,37.3,564,1700,S
84.7,38.4,566,1623,M
85.7,38.1,681,1677,M
78.4,37.6,536,1625,S
79.4,37.8,563,1623,S
99.8,35.2,744,1563,XL
79.6,35.9,511,1589,S
111.2,39.0,717,1645,3XL
88.4,32.7,591,1552,M
87.7,36.4,540,1600,M
82.4,33.7,426,1409,S
88.9,35.1,585,1620,M
96.0,41.1,828,1746,XL
99.2,34.6,695,1690,XL
88.2,39.0,594,1644,M
