chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
1081,399,L,S,conflict
1108,412,L,M,conflict
1069,417,L,L,match
1140,459,XL,XXXL,conflict
1018,384,M,XS,conflict
1096,417,L,L,match
1127,435,XL,XL,match
907,377,XS,XS,match
1241,448,XXXL,XXL,conflict
1092,420,L,L,match
1178,446,XXL,XXL,match
1031,402,M,S,conflict
872,375,XS,XS,match
884,412,XS,M,conflict
1121,398,XL,S,conflict
1063,390,L,S,conflict
1242,455,XXXL,XXXL,match
949,412,S,M,conflict
953,414,S,M,conflict
1106,440,L,XL,conflict
1094,428,L,L,match
954,406,S,M,conflict
1242,444,XXXL,XXL,conflict
1166,415,XL,M,conflict
904,393,XS,S,conflict
1071,418,L,L,match
1182,445,XXL,XXL,match
1052,434,M,XL,conflict
1162,436,XL,XL,match
1069,416,L,L,match
957,384,S,XS,conflict
1020,395,M,S,conflict
1198,450,XXL,XXL,match
1079,395,L,S,conflict
1172,423,XL,L,conflict
1008,400,M,S,conflict
1168,405,XL,M,conflict
1027,395,M,S,conflict
1068,409,L,M,conflict
1139,445,XL,XXL,conflict
1076,426,L,L,match
1045,403,M,S,conflict
1231,425,XXL,L,conflict
913,414,XS,M,conflict
960,407,S,M,conflict
1043,426,M,L,conflict
1089,405,L,M,conflict
1019,437,M,XL,conflict
1097,406,L,M,conflict
963,415,S,M,conflict
1074,444,L,XXL,conflict
1069,459,L,XXXL,conflict
1168,410,XL,M,conflict
1087,423,L,L,match
1173,433,XXL,XL,conflict
1002,406,M,M,match
1022,408,M,M,match
1076,424,L,L,match
820,366,XS,XS,match
1030,400,M,S,conflict
1131,428,XL,L,conflict
1183,437,XXL,XL,conflict
999,427,M,L,conflict
1115,459,L,XXXL,conflict
1072,442,L,XXL,conflict
1063,433,L,XL,conflict
1099,426,L,L,match
1043,412,M,M,match
1113,446,L,XXL,conflict
1121,426,XL,L,conflict
1015,391,M,S,conflict
1011,417,M,L,conflict
1058,416,L,L,match
1034,413,M,M,match
1138,445,XL,XXL,conflict
937,385,S,S,match
953,405,S,M,conflict
976,412,S,M,conflict
1008,400,M,S,conflict
893,403,XS,S,conflict
1024,385,M,S,conflict
1029,421,M,L,conflict
1066,418,L,L,match
1011,411,M,M,match
988,394,S,S,match
1068,439,L,XL,conflict
1065,424,L,L,match
962,387,S,S,match
1094,423,L,L,match
1228,475,XXL,XXXL,conflict
979,400,S,S,match
1094,425,L,L,match
1201,421,XXL,L,conflict
1054,422,M,L,conflict
1080,392,L,S,conflict
1123,424,XL,L,conflict
1106,409,L,M,conflict
937,392,S,S,match
962,396,S,S,match
992,425,S,L,conflict
998,420,M,L,conflict
1056,407,M,M,match
1131,425,XL,L,conflict
969,403,S,S,match
1000,406,M,M,match
1145,424,XL,L,conflict
1118,445,XL,XXL,conflict
1020,402,M,S,conflict
953,433,S,XL,conflict
946,411,S,M,conflict
1324,435,XXXL,XL,conflict
1088,438,L,XL,conflict
1200,425,XXL,L,conflict
1124,442,XL,XXL,conflict
1067,417,L,L,match
1053,420,M,L,conflict
999,404,M,M,match
987,429,S,XL,conflict
998,416,M,L,conflict
1027,412,M,M,match
915,374,XS,XS,match
1043,406,M,M,match
1105,423,L,L,match
1209,414,XXL,M,conflict
1098,410,L,M,conflict
1156,417,XL,L,conflict
933,406,S,M,conflict
1109,430,L,XL,conflict
1202,433,XXL,XL,conflict
1121,418,XL,L,conflict
990,421,S,L,conflict
1256,430,XXXL,XL,conflict
1042,415,M,M,match
925,429,S,XL,conflict
929,397,S,S,match
1026,421,M,L,conflict
996,402,S,S,match
1146,424,XL,L,conflict
1071,415,L,M,conflict
1219,443,XXL,XXL,match
1099,404,L,M,conflict
998,408,M,M,match
957,420,S,L,conflict
1202,430,XXL,XL,conflict
1164,442,XL,XXL,conflict
922,390,XS,S,conflict
1096,399,L,S,conflict
1137,429,XL,XL,match
994,429,S,XL,conflict
1016,388,M,S,conflict
1005,404,M,M,match
1150,414,XL,M,conflict
1124,424,XL,L,conflict
1093,426,L,L,match
1018,418,M,L,conflict
