chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
935,363,M,M,match
845,337,S,S,match
836,359,S,M,conflict
949,366,L,L,match
954,375,L,L,match
940,361,M,M,match
915,380,M,XL,conflict
925,390,M,XXL,conflict
1032,364,XL,M,conflict
988,378,L,L,match
838,368,S,L,conflict
992,346,L,S,conflict
969,369,L,L,match
957,366,L,L,match
1093,337,XXL,S,conflict
997,377,L,L,match
1090,362,XXL,M,conflict
923,379,M,XL,conflict
844,393,S,XXL,conflict
1011,359,XL,M,conflict
997,365,L,M,conflict
943,365,L,M,conflict
934,358,M,M,match
1031,397,XL,XXL,conflict
985,363,L,M,conflict
935,384,M,XL,conflict
872,374,S,L,conflict
996,369,L,L,match
994,359,L,M,conflict
1131,371,XXXL,L,conflict
966,372,L,L,match
908,366,M,L,conflict
985,373,L,L,match
896,372,M,L,conflict
864,356,S,M,conflict
1095,378,XXL,L,conflict
890,362,M,M,match
965,346,L,S,conflict
958,368,L,L,match
926,351,M,S,conflict
878,347,S,S,match
951,354,L,M,conflict
858,358,S,M,conflict
870,351,S,S,match
875,375,S,L,conflict
1139,387,XXXL,XL,conflict
1064,359,XXL,M,conflict
923,370,M,L,conflict
861,375,S,L,conflict
1057,394,XL,XXL,conflict
896,369,M,L,conflict
991,377,L,L,match
904,380,M,XL,conflict
981,358,L,M,conflict
1046,370,XL,L,conflict
952,368,L,L,match
1067,388,XXL,XL,conflict
1105,394,XXL,XXL,match
1196,362,XXXL,M,conflict
999,394,L,XXL,conflict
1052,411,XL,XXXL,conflict
1014,386,XL,XL,match
1048,372,XL,L,conflict
896,370,M,L,conflict
943,373,L,L,match
899,377,M,L,conflict
996,369,L,L,match
911,372,M,L,conflict
1005,368,XL,L,conflict
873,359,S,M,conflict
976,371,L,L,match
834,341,S,S,match
986,355,L,M,conflict
1062,368,XXL,L,conflict
1004,365,XL,M,conflict
896,370,M,L,conflict
861,381,S,XL,conflict
951,378,L,L,match
772,311,XS,XS,match
1034,381,XL,XL,match
899,348,M,S,conflict
955,338,L,S,conflict
867,337,S,S,match
971,386,L,XL,conflict
966,336,L,S,conflict
800,381,XS,XL,conflict
812,355,XS,M,conflict
946,387,L,XL,conflict
1008,363,XL,M,conflict
971,374,L,L,match
918,318,M,XS,conflict
987,378,L,L,match
969,347,L,S,conflict
979,376,L,L,match
1017,405,XL,XXXL,conflict
1058,362,XXL,M,conflict
887,357,S,M,conflict
859,349,S,S,match
980,376,L,L,match
1037,328,XL,XS,conflict
984,367,L,L,match
959,355,L,M,conflict
988,384,L,XL,conflict
900,359,M,M,match
827,364,S,M,conflict
1089,378,XXL,L,conflict
895,359,M,M,match
1024,373,XL,L,conflict
948,382,L,XL,conflict
1131,360,XXXL,M,conflict
988,392,L,XXL,conflict
1098,374,XXL,L,conflict
1033,390,XL,XXL,conflict
960,375,L,L,match
955,354,L,M,conflict
1023,368,XL,L,conflict
1000,387,XL,XL,match
866,356,S,M,conflict
881,375,S,L,conflict
950,373,L,L,match
1020,353,XL,S,conflict
1159,395,XXXL,XXL,conflict
866,391,S,XXL,conflict
908,372,M,L,conflict
883,371,S,L,conflict
993,358,L,M,conflict
920,363,M,M,match
1122,349,XXXL,S,conflict
829,353,S,S,match
925,352,M,S,conflict
1096,388,XXL,XL,conflict
862,349,S,S,match
1059,371,XXL,L,conflict
1086,332,XXL,XS,conflict
968,374,L,L,match
908,354,M,M,match
956,379,L,XL,conflict
1043,365,XL,M,conflict
1003,386,XL,XL,match
825,372,S,L,conflict
899,355,M,M,match
958,381,L,XL,conflict
1028,380,XL,XL,match
957,369,L,L,match
1007,370,XL,L,conflict
842,372,S,L,conflict
884,362,S,M,conflict
992,386,L,XL,conflict
913,363,M,M,match
1152,382,XXXL,XL,conflict
836,366,S,L,conflict
957,361,L,M,conflict
757,331,XS,XS,match
985,366,L,L,match
1036,374,XL,L,conflict
943,358,L,M,conflict
960,374,L,L,match
875,365,S,M,conflict
879,352,S,S,match
935,362,M,M,match
886,370,S,L,conflict
1018,375,XL,L,conflict
929,369,M,L,conflict
